location,neighborhoods,population,table_date
"Houston, Texas",Denver Harbor - Port Houston,"17,164",2023-11-23
"Houston, Texas",Lawndale - Wayside,"12,648",2023-11-23
"Houston, Texas",Astrodome Area,"17,697",2023-11-23
"Houston, Texas",Northside Village,"26,831",2023-11-23
"Houston, Texas",Greater Fondren Southwest,"58,703",2023-11-23
"Houston, Texas",Golfcrest - Bellfort - Reveille,"49,757",2023-11-23
"Houston, Texas",Neartown - Montrose,"28,957",2023-11-23
"Houston, Texas",Kashmere Gardens,"9,527",2023-11-23
"Houston, Texas",Harrisburg - Manchester,"3,158",2023-11-23
"Houston, Texas",Greater Greenspoint,"42,888",2023-11-23
"Houston, Texas",Spring Branch West,"30,076",2023-11-23
"Houston, Texas",Woodlake - Briarmeadow,"47,958",2023-11-23
"Houston, Texas",Fourth Ward,"3,881",2023-11-23
"Houston, Texas",Magnolia Park,"17,684",2023-11-23
"Houston, Texas",Willow Meadows - Willowbend Area,"12,750",2023-11-23
"Houston, Texas",Greenway - Upper Kirby Area,"19,931",2023-11-23
"Houston, Texas",Briarforest Area,"39,031",2023-11-23
"Houston, Texas",Pleasantville Area,"3,141",2023-11-23
"Houston, Texas",Spring Branch Central,"28,081",2023-11-23
"Houston, Texas",Hunterwood,"2,526",2023-11-23
"Houston, Texas",Greater Inwood,"33,923",2023-11-23
"Houston, Texas",Spring Branch North,"19,728",2023-11-23
"Houston, Texas",Independence Heights,"13,388",2023-11-23
"Jacksonville, Florida",Oak Haven,"1,026",2023-11-23
"Jacksonville, Florida",Hillcrest,"7,045",2023-11-23
"Jacksonville, Florida",Arlington Manor,"4,385",2023-11-23
"Jacksonville, Florida",Brown Island,292,2023-11-23
"Jacksonville, Florida",Fairfield,"1,127",2023-11-23
"Jacksonville, Florida",Pecan Park,"4,042",2023-11-23
"Jacksonville, Florida",Fairways Forest,"2,822",2023-11-23
"Jacksonville, Florida",Arrowhead,"3,759",2023-11-23
"Jacksonville, Florida",Brooklyn,66,2023-11-23
"Jacksonville, Florida",Pumpkin Hill,"1,536",2023-11-23
"Jacksonville, Florida",Larsen,"1,681",2023-11-23
"Jacksonville, Florida",Holiday Hill,"6,831",2023-11-23
"Jacksonville, Florida",Harborview,"2,193",2023-11-23
"Jacksonville, Florida",The Cape,"7,274",2023-11-23
"Jacksonville, Florida",Riverside,"9,544",2023-11-23
"Jacksonville, Florida",Murray Hill,"9,305",2023-11-23
"Jacksonville, Florida",Windy Hill,"12,821",2023-11-23
"Jacksonville, Florida",Jacksonville Naval Air Station,"2,334",2023-11-23
"Jacksonville, Florida",Park Ridge,837,2023-11-23
"Jacksonville, Florida",Deercreek,"3,165",2023-11-23
"Jacksonville, Florida",Fairfax,"1,722",2023-11-23
"Jacksonville, Florida",Atlantic Highlands,"1,719",2023-11-23
"Jacksonville, Florida",Sweetwater,"2,552",2023-11-23
"Jacksonville, Florida",29th and Chase,"1,837",2023-11-23
"Jacksonville, Florida",Normandy Estate,"6,418",2023-11-23
"Jacksonville, Florida",Woodstock,"4,906",2023-11-23
"Jacksonville, Florida",Deerwood Center,803,2023-11-23
"Jacksonville, Florida",Isle of Palms,"2,727",2023-11-23
"Jacksonville, Florida",Lakewood,"4,575",2023-11-23
"Kansas City, Missouri",Palestine West and Oak Park Northeast,"1,142",2023-11-23
"Kansas City, Missouri",Oakwood,515,2023-11-23
"Kansas City, Missouri",Eastern 49-63,"3,367",2023-11-23
"Kansas City, Missouri",Oak Meyer Gardens,"1,156",2023-11-23
"Kansas City, Missouri",Vineyard Northwest,814,2023-11-23
"Kansas City, Missouri",Oak Park Southwest,"1,943",2023-11-23
"Kansas City, Missouri",Self Help Neighborhood Council,"1,502",2023-11-23
"Kansas City, Missouri",Palestine East,995,2023-11-23
"Kansas City, Missouri",Sarritt Point,"4,993",2023-11-23
"Kansas City, Missouri",Northest Industrial District,366,2023-11-23
"Kansas City, Missouri",Eastwood Hill East,"3,632",2023-11-23
"Kansas City, Missouri",Ivanhoe Northeast,885,2023-11-23
"Kansas City, Missouri",South Hyde Park,"2,179",2023-11-23
"Kansas City, Missouri",Romanelli West,745,2023-11-23
"Kansas City, Missouri",Highview Estates,"1,864",2023-11-23
"Kansas City, Missouri",Oak Park Northwest,"2,652",2023-11-23
"Kansas City, Missouri",West Waldo,"1,325",2023-11-23
"Kansas City, Missouri",Armour Hills,"2,316",2023-11-23
"Kansas City, Missouri",Ward Parkway,"3,483",2023-11-23
"Kansas City, Missouri",North India Mound,"5,311",2023-11-23
"Kansas City, Missouri",Knoches Park,"1,573",2023-11-23
"Kansas City, Missouri",Legacy East,"1,002",2023-11-23
"Kansas City, Missouri",Ruskin Hills,"2,703",2023-11-23
"Kansas City, Missouri",North Town Fork Creek,"3,050",2023-11-23
"Kansas City, Missouri",Westside South,"1,244",2023-11-23
"Kansas City, Missouri",Western 49-63,"3,739",2023-11-23
"Kansas City, Missouri",Hickman Mills,"3,578",2023-11-23
"Kansas City, Missouri",Little Blue Valley,"3,613",2023-11-23
"Kansas City, Missouri",Lewis Heights,808,2023-11-23
"Las Vegas, Nevada",Tule Springs,"18,805",2023-11-23
"Las Vegas, Nevada",East Las Vegas,"32,866",2023-11-23
"Las Vegas, Nevada",Sheep Mountain,"18,928",2023-11-23
"Las Vegas, Nevada",Rancho Charleston,"36,965",2023-11-23
"Las Vegas, Nevada",Downtown East,"9,402",2023-11-23
"Las Vegas, Nevada",Cultural Corridor,"15,689",2023-11-23
"Las Vegas, Nevada",Las Vegas Wash,88,2023-11-23
"Las Vegas, Nevada",Lone Mountain,"51,007",2023-11-23
"Las Vegas, Nevada",Centennial Hills,"52,160",2023-11-23
"Las Vegas, Nevada",North Cheyenne,"39,277",2023-11-23
"Las Vegas, Nevada",Michael Way,"50,535",2023-11-23
"Las Vegas, Nevada",Desert Shores,"14,864",2023-11-23
"Las Vegas, Nevada",Downtown,"11,953",2023-11-23
"Las Vegas, Nevada",Meadows Village,"2,660",2023-11-23
"Las Vegas, Nevada",Kyle Canyon,"11,372",2023-11-23
"Las Vegas, Nevada",West Las Vegas,"21,234",2023-11-23
"Las Vegas, Nevada",Buffalo,"17,158",2023-11-23
"Las Vegas, Nevada",Sunrise,"18,730",2023-11-23
"Las Vegas, Nevada",Twin Lakes,"10,944",2023-11-23
"Las Vegas, Nevada",Huntridge,"16,220",2023-11-23
"Las Vegas, Nevada",The Lakes,"30,234",2023-11-23
"Las Vegas, Nevada",Summerlin North,"50,072",2023-11-23
"Long Beach, California",Los Cerritos Area,"4,475",2023-11-23
"Long Beach, California",The Plaza,"20,182",2023-11-23
"Long Beach, California",State College Area,"5,118",2023-11-23
"Long Beach, California",Carroll Park,564,2023-11-23
"Long Beach, California",Willmore City,"12,289",2023-11-23
"Long Beach, California",West Side,"28,825",2023-11-23
"Long Beach, California",Lakewood Village,"7,819",2023-11-23
"Long Beach, California",Peninsula,"1,448",2023-11-23
"Long Beach, California",Los Altos,"9,613",2023-11-23
"Long Beach, California",Downtown,"12,322",2023-11-23
"Long Beach, California",Bluff Heights,"5,238",2023-11-23
"Long Beach, California",Airport Area,347,2023-11-23
"Long Beach, California",Bixby Area,"13,654",2023-11-23
"Long Beach, California",Marina Area,"3,689",2023-11-23
"Long Beach, California",Dominguez,3,2023-11-23
"Long Beach, California",California Heights,"7,294",2023-11-23
"Long Beach, California",Rancho Estates,"2,010",2023-11-23
"Long Beach, California",North Long Beach,"92,085",2023-11-23
"Long Beach, California",Belmont Heights,"13,432",2023-11-23
"Long Beach, California",East Village,"11,575",2023-11-23
"Long Beach, California",Bixby Hill,"1,277",2023-11-23
"Long Beach, California",University Park Estates,"2,946",2023-11-23
"Long Beach, California",Saint Mary's,"3,850",2023-11-23
"Long Beach, California",Belmont Park,"1,282",2023-11-23
"Long Beach, California",Zaferia,"14,389",2023-11-23
"Long Beach, California",Hellman,"20,304",2023-11-23
"Long Beach, California",East Side,"14,565",2023-11-23
"Long Beach, California",Park Estates,"3,002",2023-11-23
"Long Beach, California",El Dorado Park Estates,"4,032",2023-11-23
"Los Angeles, California",Highland Park,"52,869",2023-11-23
"Los Angeles, California",Playa Vista,"5,453",2023-11-23
"Los Angeles, California",University Hills,"5,093",2023-11-23
"Los Angeles, California",North Hills,"54,953",2023-11-23
"Los Angeles, California",Mar Vista,"39,481",2023-11-23
"Los Angeles, California",Valley Glen,"55,116",2023-11-23
"Los Angeles, California",Pacoima,"76,453",2023-11-23
"Los Angeles, California",Mid City,"83,499",2023-11-23
"Los Angeles, California",Sun Valley,"86,235",2023-11-23
"Los Angeles, California",Mission Hills,"20,692",2023-11-23
"Los Angeles, California",Venice,"36,898",2023-11-23
"Los Angeles, California",Glendale,10,2023-11-23
"Los Angeles, California",Winnetka,"47,844",2023-11-23
"Los Angeles, California",Reseda,"65,054",2023-11-23
"Los Angeles, California",Mount Washington,"17,349",2023-11-23
"Los Angeles, California",Encino,"46,347",2023-11-23
"Los Angeles, California",Tarzana,"36,834",2023-11-23
"Los Angeles, California",Westwood,"52,102",2023-11-23
"Los Angeles, California",Canoga Park,"51,772",2023-11-23
"Los Angeles, California",Southeast Los Angeles,"182,547",2023-11-23
"Memphis, Tennessee",Hickory Ridge-South Riverdale,"61,338",2023-11-23
"Memphis, Tennessee",Shelby Forest-Frayser,"36,341",2023-11-23
"Memphis, Tennessee",Raleigh,"56,486",2023-11-23
"Memphis, Tennessee",White Haven-Coro Lake,"87,528",2023-11-23
"Memphis, Tennessee",Berclair-Highland Heights,"35,884",2023-11-23
"Memphis, Tennessee",Midtown,"64,672",2023-11-23
"Memphis, Tennessee",Cordova-Appling,"68,779",2023-11-23
"Memphis, Tennessee",East Memphis-Colonial-Yorkshire,"106,628",2023-11-23
"Memphis, Tennessee",River Oaks-Kirby-Balmoral,"40,159",2023-11-23
"Memphis, Tennessee",Eads-Fisherville,"3,704",2023-11-23
"Memphis, Tennessee",Parkway Village-Oakhaven,"40,294",2023-11-23
"Memphis, Tennessee",Windyke-Southwind,5,2023-11-23
"Memphis, Tennessee",Downtown,"55,891",2023-11-23
"Mesa, Arizona",Northpointe,"1,305",2023-11-23
"Mesa, Arizona",Casa Mia,792,2023-11-23
"Mesa, Arizona",Fiesta Park Village,"2,519",2023-11-23
"Mesa, Arizona",Northridge Manor,588,2023-11-23
"Mesa, Arizona",Moondance,169,2023-11-23
"Mesa, Arizona",Stoneybrook,874,2023-11-23
"Mesa, Arizona",Augusta Ranch,"5,715",2023-11-23
"Mesa, Arizona",Stonecrest,569,2023-11-23
"Mesa, Arizona",Mira Mesa,761,2023-11-23
"Mesa, Arizona",Rancho del Mar,"1,139",2023-11-23
"Mesa, Arizona",Alta Mesa,"6,150",2023-11-23
"Mesa, Arizona",Meridian Pointe,"1,457",2023-11-23
"Mesa, Arizona",Lehi,"1,644",2023-11-23
"Mesa, Arizona",Village Park Four,495,2023-11-23
"Mesa, Arizona",Villages of Eastridge,"2,866",2023-11-23
"Mesa, Arizona",Sierra Heights,344,2023-11-23
"Mesa, Arizona",Signal Butte Manor,787,2023-11-23
"Mesa, Arizona",Sundance Homes,504,2023-11-23
"Mesa, Arizona",Garden Hills,340,2023-11-23
"Mesa, Arizona",Reed Park,"11,641",2023-11-23
"Mesa, Arizona",Sunland Springs Village,"2,479",2023-11-23
"Mesa, Arizona",Hohokam Village,"1,031",2023-11-23
"Mesa, Arizona",Pacific Palms,353,2023-11-23
"Mesa, Arizona",Summit,"1,256",2023-11-23
"Mesa, Arizona",Boulder Mountain,936,2023-11-23
"Mesa, Arizona",Suntrails III,352,2023-11-23
"Mesa, Arizona",Marlborough Mesa,"1,465",2023-11-23
"Mesa, Arizona",El Mirage,293,2023-11-23
"Mesa, Arizona",Powell Estates,"1,545",2023-11-23
"Miami, Florida",Coral Way,"39,233",2023-11-23
"Miami, Florida",Upper Eastside,"12,863",2023-11-23
"Miami, Florida",Alameda - West Flagler,"45,896",2023-11-23
"Miami, Florida",Overtown,"10,004",2023-11-23
"Miami, Florida",Allapattah,"41,571",2023-11-23
"Miami, Florida",Little Havana,"53,431",2023-11-23
"Miami, Florida",Fair Isle,608,2023-11-23
"Miami, Florida",Biscayne Island,486,2023-11-23
"Miami, Florida",Flagami,"52,238",2023-11-23
"Miami, Florida",North-East Coconut Grove,"10,617",2023-11-23
"Miami, Florida",Shenandoah,"11,847",2023-11-23
"Miami, Florida",Wynwood - Edgewater,"19,796",2023-11-23
"Miami, Florida",Brickell,"27,776",2023-11-23
"Miami, Florida",Little Haiti,"28,346",2023-11-23
"Miami, Florida",San Marco Island,132,2023-11-23
"Miami, Florida",South-West Coconut Grove,"8,121",2023-11-23
"Miami, Florida",Downtown,"13,762",2023-11-23
"Miami, Florida",Liberty City,"22,749",2023-11-23
"Milwaukee, Wisconsin",Holler Park,531,2023-11-23
"Milwaukee, Wisconsin",Wedgewood,"1,539",2023-11-23
"Milwaukee, Wisconsin",Menomonee River Valley,106,2023-11-23
"Milwaukee, Wisconsin",Haymarket,157,2023-11-23
"Milwaukee, Wisconsin",Murray Hill,"5,881",2023-11-23
"Milwaukee, Wisconsin",Avenues West,"9,123",2023-11-23
"Milwaukee, Wisconsin",Washington Park,"4,887",2023-11-23
"Milwaukee, Wisconsin",Pheasant Run,"1,673",2023-11-23
"Milwaukee, Wisconsin",Buchel Park,36,2023-11-23
"Milwaukee, Wisconsin",Lincoln Village,"13,249",2023-11-23
"Milwaukee, Wisconsin",Hampton Heights,"7,148",2023-11-23
"Milwaukee, Wisconsin",St. Amelian's,"1,762",2023-11-23
"Milwaukee, Wisconsin",Cannon Park,"2,286",2023-11-23
"Milwaukee, Wisconsin",White Manor,"1,762",2023-11-23
"Milwaukee, Wisconsin",Brewer's Hill,"2,323",2023-11-23
"Milwaukee, Wisconsin",Bluemound Heights,"3,195",2023-11-23
"Milwaukee, Wisconsin",Hawthorne Glen,351,2023-11-23
"Milwaukee, Wisconsin",Granville Station,922,2023-11-23
"Milwaukee, Wisconsin",Baran Park,359,2023-11-23
"Milwaukee, Wisconsin",Sherman Park,"7,358",2023-11-23
"Milwaukee, Wisconsin",Fernwood,"3,003",2023-11-23
"Milwaukee, Wisconsin",Havenwoods,460,2023-11-23
"Milwaukee, Wisconsin",Dretzka Park,"1,135",2023-11-23
"Milwaukee, Wisconsin",Muskego Way,"11,945",2023-11-23
"Milwaukee, Wisconsin",Timmerman Airport,408,2023-11-23
"Milwaukee, Wisconsin",Copernicus Park,"1,354",2023-11-23
"Milwaukee, Wisconsin",Ridgeview,308,2023-11-23
"Milwaukee, Wisconsin",Grover Heights,327,2023-11-23
"Milwaukee, Wisconsin",Mount Olivet,362,2023-11-23
"Minneapolis, Minnesota",Willard Hay,"8,611",2023-11-23
"Minneapolis, Minnesota",Harrison,"3,197",2023-11-23
"Minneapolis, Minnesota",Longfellow,"4,901",2023-11-23
"Minneapolis, Minnesota",East Harriet,"3,604",2023-11-23
"Minneapolis, Minnesota",Standish,"6,527",2023-11-23
"Minneapolis, Minnesota",Whittier,"13,689",2023-11-23
"Minneapolis, Minnesota",Cooper,"3,505",2023-11-23
"Minneapolis, Minnesota",East Calhoun,"2,457",2023-11-23
"Minneapolis, Minnesota",Keewaydin,"3,096",2023-11-23
"Minneapolis, Minnesota",Columbia Park,"1,563",2023-11-23
"Minneapolis, Minnesota",St Anthony East,"2,038",2023-11-23
"Minneapolis, Minnesota",Beltrami,"1,248",2023-11-23
"Minneapolis, Minnesota",Waite Park,"5,244",2023-11-23
"Minneapolis, Minnesota",Southeast Como,"6,265",2023-11-23
"Minneapolis, Minnesota",Loring Park,"7,873",2023-11-23
"Minneapolis, Minnesota",Lowry Hill East,"6,150",2023-11-23
"Minneapolis, Minnesota",Ericsson,"3,192",2023-11-23
"Minneapolis, Minnesota",Cedar-Riverside,"8,125",2023-11-23
"Minneapolis, Minnesota",Hale,"3,176",2023-11-23
"Minneapolis, Minnesota",Victory,"4,580",2023-11-23
"Minneapolis, Minnesota",Jordan,"7,720",2023-11-23
"Minneapolis, Minnesota",Corcoran,"3,942",2023-11-23
"Minneapolis, Minnesota",Bryant,"2,833",2023-11-23
"Minneapolis, Minnesota",Lind-Bohanon,"4,569",2023-11-23
"Minneapolis, Minnesota",Prospect Park,"7,457",2023-11-23
"Minneapolis, Minnesota",Marshall Terrace,"1,381",2023-11-23
"Minneapolis, Minnesota",Windom,"4,980",2023-11-23
"Minneapolis, Minnesota",Cedar-Isles-Dean,"2,925",2023-11-23
"Minneapolis, Minnesota",Northrup,"4,369",2023-11-23
"New York, New York",Auburndale,"26,511",2023-11-23
"New York, New York",Rikers Island,"11,091",2023-11-23
"New York, New York",Turtle Bay,"19,836",2023-11-23
"New York, New York",College Point,"26,128",2023-11-23
"New York, New York",Rosebank,"12,180",2023-11-23
"New York, New York",Oakwood,"12,882",2023-11-23
"New York, New York",St. Albans,"34,396",2023-11-23
"New York, New York",Eltingville,"23,684",2023-11-23
"New York, New York",Rosedale,"26,530",2023-11-23
"New York, New York",Fordham,"48,607",2023-11-23
"New York, New York",Westerleigh,"5,187",2023-11-23
"New York, New York",Jamaica Hills,"12,685",2023-11-23
"New York, New York",Woodlawn,"7,356",2023-11-23
"New York, New York",Tremont,"54,748",2023-11-23
"New York, New York",Stuyvesant Town,"16,538",2023-11-23
"New York, New York",Rossville,"10,801",2023-11-23
"New York, New York",Jamaica Estates,"13,246",2023-11-23
"New York, New York",Midwood,"62,741",2023-11-23
"New York, New York",Hillcrest,"13,904",2023-11-23
"New York, New York",Chelsea-Travis,"2,953",2023-11-23
"New York, New York",Kew Gardens Hills,"41,752",2023-11-23
"New York, New York",South Beach,"7,710",2023-11-23
"New York, New York",High Bridge,"38,355",2023-11-23
"New York, New York",Stapleton,"11,499",2023-11-23
"New York, New York",Pelham Bay Park,"1,219",2023-11-23
"New York, New York",Murray Hill,"11,188",2023-11-23
"New York, New York",Bedford Park,"51,237",2023-11-23
"New York, New York",University Heights,"52,422",2023-11-23
"New York, New York",Mill Basin,"11,385",2023-11-23
"New York, New York",Fort Greene,"33,593",2023-11-23
"Oakland, California",South Stonehurst,831,2023-11-23
"Oakland, California",Highland,"2,507",2023-11-23
"Oakland, California",Oak Tree,"4,922",2023-11-23
"Oakland, California",Las Palmas,"2,318",2023-11-23
"Oakland, California",Northgate,"1,825",2023-11-23
"Oakland, California",Longfellow,"6,127",2023-11-23
"Oakland, California",Lockwood Tevis,"2,632",2023-11-23
"Oakland, California",Adams Point,"8,310",2023-11-23
"Oakland, California",Golden Gate,"1,875",2023-11-23
"Oakland, California",Clinton,"7,692",2023-11-23
"Oakland, California",Jefferson,"3,718",2023-11-23
"Oakland, California",Oakland Army Base,111,2023-11-23
"Oakland, California",Hawthorne,"2,062",2023-11-23
"Oakland, California",Joaquin Miller Park,305,2023-11-23
"Oakland, California",Upper Rockridge,"6,157",2023-11-23
"Oakland, California",Paradise Park,"2,461",2023-11-23
"Oakland, California",Durant Manor,"1,847",2023-11-23
"Oakland, California",Oak Center,"3,273",2023-11-23
"Oakland, California",Ivy Hill,"3,472",2023-11-23
"Oakland, California",Montclair Business,110,2023-11-23
"Oakland, California",Oakland Airport,90,2023-11-23
"Oakland, California",Woodminster,"1,031",2023-11-23
"Oakland, California",Hiller Highlands,541,2023-11-23
"Oakland, California",Piedmont Avenue,"6,506",2023-11-23
"Oakland, California",Upper Dimond,"6,470",2023-11-23
"Oakland, California",Bushrod,"6,297",2023-11-23
"Oakland, California",Fairfax,"2,173",2023-11-23
"Oakland, California",Dimond,"1,799",2023-11-23
"Oakland, California",Havenscourt,"6,679",2023-11-23
"Oakland, California",Skyline - Hillcrest Estates,"1,269",2023-11-23
"Oklahoma City, Oklahoma",Capitol Hill,"2,334",2023-11-23
"Oklahoma City, Oklahoma",Classen Ten Penn,"3,573",2023-11-23
"Oklahoma City, Oklahoma",Meridian Avenue Corridor,"37,642",2023-11-23
"Oklahoma City, Oklahoma",I-240 Corridor,"36,173",2023-11-23
"Oklahoma City, Oklahoma",Crown Heights,"2,014",2023-11-23
"Oklahoma City, Oklahoma",Flatiron District,50,2023-11-23
"Oklahoma City, Oklahoma",Heritage Hills,"1,585",2023-11-23
"Oklahoma City, Oklahoma",Gatewood UCD,"2,700",2023-11-23
"Oklahoma City, Oklahoma",Mesta Park,"1,585",2023-11-23
"Oklahoma City, Oklahoma",Edgemere Heights,"2,278",2023-11-23
"Oklahoma City, Oklahoma",Cottage District,934,2023-11-23
"Oklahoma City, Oklahoma",Northwest 39th Street Enclave,"3,227",2023-11-23
"Oklahoma City, Oklahoma",Paseo Arts District,"3,446",2023-11-23
"Oklahoma City, Oklahoma",Belle Isle,"7,627",2023-11-23
"Oklahoma City, Oklahoma",Deep Deuce,432,2023-11-23
"Oklahoma City, Oklahoma",Film Row,948,2023-11-23
"Oklahoma City, Oklahoma",Automobile Alley,258,2023-11-23
"Oklahoma City, Oklahoma",Arts District,898,2023-11-23
"Oklahoma City, Oklahoma",Stockyards City,"3,702",2023-11-23
"Oklahoma City, Oklahoma",Asia District,"6,113",2023-11-23
"Oklahoma City, Oklahoma",Adventure District,"5,260",2023-11-23
"Oklahoma City, Oklahoma",Lincoln Terrace,"2,313",2023-11-23
"Oklahoma City, Oklahoma",Central Business District,111,2023-11-23
"Oklahoma City, Oklahoma",Bricktown,2,2023-11-23
"Oklahoma City, Oklahoma",Capitol Campus,"1,909",2023-11-23
"Oklahoma City, Oklahoma",Mayfair,"4,963",2023-11-23
"Omaha, Nebraska",Elkhorn,"18,445",2023-11-23
"Philadelphia, Pennsylvania",Wissahickon Hills,"1,088",2023-11-23
"Philadelphia, Pennsylvania",University City,"17,578",2023-11-23
"Philadelphia, Pennsylvania",Wissinoming,"21,445",2023-11-23
"Philadelphia, Pennsylvania",Logan,"21,926",2023-11-23
"Philadelphia, Pennsylvania",Dickinson Narrows,"6,876",2023-11-23
"Philadelphia, Pennsylvania",Germantown Morton,"6,338",2023-11-23
"Philadelphia, Pennsylvania",Ludlow,"2,060",2023-11-23
"Philadelphia, Pennsylvania",Grays Ferry,"14,838",2023-11-23
"Philadelphia, Pennsylvania",North Central,"15,445",2023-11-23
"Philadelphia, Pennsylvania",Franklin Mills,1,2023-11-23
"Philadelphia, Pennsylvania",Mantua,"6,829",2023-11-23
"Philadelphia, Pennsylvania",Andorra,"2,619",2023-11-23
"Philadelphia, Pennsylvania",Upper Roxborough,"10,735",2023-11-23
"Philadelphia, Pennsylvania",East Passyunk,"9,381",2023-11-23
"Philadelphia, Pennsylvania",Lawndale,"24,134",2023-11-23
"Philadelphia, Pennsylvania",Bustleton,"32,655",2023-11-23
"Philadelphia, Pennsylvania",Callow Hill,"1,726",2023-11-23
"Philadelphia, Pennsylvania",Lower Moyamensing,"16,481",2023-11-23
"Philadelphia, Pennsylvania",West Poplar,"4,450",2023-11-23
"Philadelphia, Pennsylvania",Spring Garden,"7,048",2023-11-23
"Philadelphia, Pennsylvania",Dunlap,"2,236",2023-11-23
"Philadelphia, Pennsylvania",West Torresdale,185,2023-11-23
"Philadelphia, Pennsylvania",Woodland Terrace,"1,576",2023-11-23
"Philadelphia, Pennsylvania",Roxborough Park,"1,137",2023-11-23
"Philadelphia, Pennsylvania",Society Hill,"6,077",2023-11-23
"Philadelphia, Pennsylvania",Mount Airy West,"12,635",2023-11-23
"Philadelphia, Pennsylvania",Garden Court,"2,902",2023-11-23
"Philadelphia, Pennsylvania",West Park,105,2023-11-23
"Philadelphia, Pennsylvania",Hawthorne,"2,377",2023-11-23
"Phoenix, Arizona",Rio Vista,"3,343",2023-11-23
"Phoenix, Arizona",Central City,"56,543",2023-11-23
"Phoenix, Arizona",Camelback East,"134,937",2023-11-23
"Phoenix, Arizona",Encanto,"54,523",2023-11-23
"Phoenix, Arizona",Estrella,"81,107",2023-11-23
"Phoenix, Arizona",Alhambra,"128,662",2023-11-23
"Phoenix, Arizona",Laveen,"48,021",2023-11-23
"Phoenix, Arizona",Maryvale,"204,435",2023-11-23
"Phoenix, Arizona",Ahwatukee Foothills,"77,288",2023-11-23
"Phoenix, Arizona",Paradise Valley,"166,927",2023-11-23
"Phoenix, Arizona",Deer Valley,"165,719",2023-11-23
"Phoenix, Arizona",North Gateway,"15,471",2023-11-23
"Phoenix, Arizona",South Mountain,"111,315",2023-11-23
"Phoenix, Arizona",Desert View,"42,857",2023-11-23
"Phoenix, Arizona",North Mountain,"161,333",2023-11-23
"Portland, Oregon",Portsmouth,"9,789",2023-11-23
"Portland, Oregon",Portland International Airport,49,2023-11-23
"Portland, Oregon",Reed,"4,399",2023-11-23
"Portland, Oregon",Eliot,"3,556",2023-11-23
"Portland, Oregon",Kerns,"5,340",2023-11-23
"Portland, Oregon",Marshall Park,"1,133",2023-11-23
"Portland, Oregon",Markham,"2,248",2023-11-23
"Portland, Oregon",Hazelwood,"23,373",2023-11-23
"Portland, Oregon",Pleasant Valley,"12,000",2023-11-23
"Portland, Oregon",Madison South,"7,130",2023-11-23
"Portland, Oregon",Healy Heights,203,2023-11-23
"Portland, Oregon",Parkrose Heights,"6,119",2023-11-23
"Portland, Oregon",Woodland Park,176,2023-11-23
